time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51
1,320.678,245.663,335.149,230.026,358.657,228.451,381.138,233.371,402.772,243.425,433.517,241.603,457.021,230.599,481.903,225.789,507.457,229.769,523.457,246.627,417.859,272.7,417.582,294.576,417.325,315.942,417.146,337.682,395.403,351.804,406.229,355.512,417.393,358.829,428.878,355.688,439.779,353.071,343.763,274.765,355.929,268.297,373.21,268.384,388.392,278.385,372.439,283.145,355.331,283.28,447.892,278.912,463.427,268.798,481.164,268.996,494.2,276.461,482.05,284.532,464.298,284.104,377.756,388.346,392.451,379.575,406.773,375.151,418.159,378.457,429.87,375.865,444.417,380.922,458.054,390.703,443.161,399.346,428.953,403.367,416.844,403.583,405.165,402.097,391.747,397.938,384.469,388.291,406.412,387.622,418.065,389.036,429.783,387.949,450.445,389.811,428.601,387.306,417.133,387.851,406.012,386.142
2,322.63,245.185,337.134,227.877,362.095,226.464,385.249,232.268,406.601,243.822,434.252,242.398,458.761,230.237,484.402,224.754,510.881,228.902,526.609,248.563,420.46,271.06,419.845,292.225,419.183,312.767,418.646,333.702,396.135,349.233,407.465,352.761,419.033,356.06,430.664,353.239,441.594,350.605,345.448,273.855,358.118,268.011,375.036,268.375,391.157,276.671,374.69,281.921,357.594,282.301,450.337,277.086,467.315,268.549,484.507,269.057,497.659,274.879,485.413,282.984,467.785,282.461,378.131,386.934,393.837,377.95,407.622,373.009,418.768,376.361,430.452,373.965,444.43,379.564,460.096,389.63,443.948,397.982,430.043,400.838,418.056,400.806,406.742,399.415,393.193,395.602,385.221,386.745,407.52,386.131,418.798,387.359,430.534,386.572,452.041,388.677,429.564,384.27,418.131,384.722,407.324,382.91
3,322.228,245.227,335.815,228.421,360.158,226.974,382.934,232.409,404.495,243.626,433.599,241.77,457.297,230.655,482.251,225.038,508.322,228.022,524.268,246.547,418.218,271.553,417.944,292.422,417.755,312.819,417.399,333.389,395.689,349.39,406.81,352.694,418.262,355.786,429.939,352.971,441.185,350.242,344.779,274.162,357.226,268.627,374.151,268.522,389.335,276.861,373.658,282.433,356.846,282.686,448.772,276.849,465.406,268.375,482.564,268.764,495.847,274.793,483.251,283.361,465.827,282.757,377.686,386.979,392.259,378.383,406.912,373.257,418.088,376.658,429.592,373.671,444.181,379.598,460.166,389.535,443.529,397.181,429.255,400.006,417.272,400.328,405.907,399.578,391.524,395.596,384.748,386.739,406.864,386.544,418.132,387.847,429.587,386.64,451.893,388.436,428.735,383.788,417.465,384.544,406.608,383.203
4,322.812,244.603,337.115,228.205,360.927,227.305,383.235,232.074,404.693,242.326,432.815,240.549,456.962,229.288,482.331,223.923,509.083,226.88,526.297,245.91,418.578,270.151,418.11,291.443,417.672,311.924,417.392,332.808,396.209,349.193,406.998,352.479,418.287,355.236,429.504,352.316,439.949,349.485,346.699,273.475,359.005,267.325,375.642,267.21,390.906,275.942,375.346,280.961,358.716,281.087,449.471,275.193,466.002,266.076,483.107,266.439,496.229,272.938,483.76,280.404,466.544,279.762,378.189,388.365,392.238,378.5,406.688,372.702,417.627,375.785,428.873,372.871,442.715,378.794,457.786,390.156,442.096,398.262,428.816,401.364,416.907,402.136,405.444,401.442,391.947,397.629,385.179,388.028,406.77,386.859,418.015,387.62,429.229,386.43,449.693,389.319,427.673,384.814,416.68,385.602,405.863,384.52
5,323.056,242.704,337.326,227.126,360.965,226.017,383.487,231.322,404.791,242.169,435.78,240.086,458.876,229.04,482.86,223.29,507.989,226.034,524.253,242.891,420.116,269.773,419.666,291.439,419.203,312.446,418.835,333.907,395.844,348.579,407.261,352.073,418.93,355.504,430.916,352.192,442.205,349.615,345.896,271.699,359.477,268.112,375.724,268.368,390.655,275.423,375.365,279.561,359.04,279.303,451.419,275.302,468.551,268.355,484.491,268.475,497.499,273.026,485.294,280.253,469.2,279.866,377.988,386.167,393.202,376.723,407.459,371.94,418.691,375.153,431.006,372.578,444.939,377.94,460.549,388.588,444.354,396.806,430.615,399.334,417.881,399.883,406.081,398.662,392.479,395.286,384.954,385.815,407.412,385.127,418.816,386.316,431.289,385.292,452.207,387.807,429.913,382.843,417.822,383.7,406.787,382.107
6,324.657,242.462,338.642,226.319,362.411,224.612,384.657,230.712,405.066,241.143,435.543,239.31,459.306,228.436,484.263,222.671,510.578,226.374,526.394,245.721,420.68,268.875,419.805,290.129,418.76,311.08,417.993,332.514,395.986,348.136,407.114,351.36,418.438,354.513,430.551,351.513,441.905,349.401,348.189,271.507,360.899,265.358,378.029,266.097,392.3,275.354,377.157,280.495,360.118,280.234,451.276,275.291,467.758,266.094,484.651,266.629,497.359,273.09,485.469,281.374,468.346,280.903,378.339,385.398,392.922,375.58,407.611,370.718,418.592,373.797,430.725,371.488,444.718,377.354,459.655,388.375,443.721,395.964,429.582,398.411,417.19,398.742,405.598,397.753,391.975,394.025,385.793,384.958,407.395,384.174,418.486,385.241,430.779,384.5,451.506,387.117,429.214,382.678,417.168,383.156,406.378,381.617
7,323.517,242.994,337.574,226.476,361.799,225.514,383.996,232.11,404.951,243.187,435.216,241.739,458.755,229.762,483.1,223.484,509.034,226.292,525.148,244.156,420.147,269.72,419.63,290.701,419.128,311.198,418.668,332.223,396.684,347.698,407.949,351.292,419.747,354.235,431.608,351.491,443.274,348.95,346.003,271.607,359.353,267.344,375.845,267.813,391.265,275.359,375.284,280.183,358.595,279.878,452.72,275.668,468.964,268.529,485.128,268.875,498.086,273.724,485.661,280.998,469.209,280.572,378.829,386.339,393.82,377.077,408.248,371.55,419.389,374.626,430.659,371.984,444.663,378.193,459.542,389.004,443.585,396.45,429.587,398.699,417.743,398.844,406.171,397.812,392.721,394.825,386.156,386.176,408.118,385.394,419.4,386.466,430.786,385.52,451.854,388.01,429.155,382.671,417.92,383.391,407.001,382.337
8,323.636,242.363,338.42,227.034,362.062,225.991,383.919,231.533,404.637,241.812,435.194,239.768,459.12,228.957,483.573,223.234,509.553,226.585,524.838,245.174,419.651,270.74,419.027,291.582,418.362,312.17,417.774,332.83,396.071,348.276,407.068,351.635,418.824,355.017,430.37,351.994,441.439,349.27,346.702,271.966,359.668,266.908,376.475,267.05,391.157,275.441,375.813,280.788,358.942,280.665,451.281,275.48,467.689,267.25,484.36,267.161,496.872,272.823,485.258,280.865,468.353,280.705,379.338,386.502,393.406,377.389,407.428,372.041,419.042,375.346,430.711,372.545,444.502,378.137,458.93,389.397,443.318,397.092,429.936,400.415,417.678,401.098,405.563,399.955,392.711,395.484,385.879,386.377,407.206,385.57,418.988,386.939,430.824,385.682,451.116,388.298,429.464,383.764,417.938,384.737,406.462,383.029
9,321.251,244.562,334.902,228.351,358.992,226.409,381.449,232.178,403.013,241.882,432.854,240.295,456.882,228.937,482.258,223.252,508.772,226.561,525.383,245.1,417.741,270.602,417.049,292.125,416.425,313.084,415.842,334.139,394.679,349.068,405.596,352.805,417.306,355.891,428.799,352.931,439.953,350.262,345.122,272.047,357.901,265.695,375.251,265.928,389.802,275.76,374.317,280.874,356.937,280.815,448.663,275.476,465.082,265.178,482.492,265.3,495.53,272.16,483.691,280.579,465.939,280.377,378.396,387.837,392.894,378.176,406.701,372.534,417.76,375.709,429.636,372.98,443.896,378.698,458.81,389.415,442.607,398.199,428.388,402.018,416.16,402.504,404.721,401.298,391.75,397.353,384.956,387.323,406.571,385.809,417.803,386.911,429.638,385.825,450.939,388.246,427.732,384.19,416.121,385.218,405.337,383.742
10,321.946,246.926,334.721,229.021,358.929,227.188,382.118,232.703,404.138,242.863,433.083,241.152,456.661,229.14,482.186,223.576,508.888,227.895,524.43,248.078,418.175,269.07,417.371,290.823,416.751,311.777,416.349,332.971,395.738,348.578,406.183,352.062,417.061,355.172,428.101,352.261,438.853,350.168,346.051,271.427,358.963,264.303,376.465,264.766,390.501,275.806,375.407,280.7,357.963,280.292,449.292,275.74,465.292,264.992,482.617,264.906,495.055,272.783,483.96,280.928,466.486,280.935,377.409,385.934,392.615,377.007,406.428,372.335,417.606,375.312,429.276,372.776,443.293,377.864,458.085,388.001,442.759,396.189,428.964,399.242,416.787,399.44,405.121,398.335,391.684,395.246,384.075,385.617,406.193,385.588,417.588,386.602,429.322,385.452,450.787,386.838,428.4,382.874,416.844,383.658,405.636,382.14
11,321.918,245.73,335.447,229.087,359.095,226.848,381.934,231.813,402.937,242.255,431.894,240.646,455.742,229.357,480.806,224.069,506.98,227.707,522.748,245.692,417.768,270.141,417.319,291.045,416.691,311.027,416.236,331.538,395.77,348.258,406.164,351.578,417.296,354.105,428.008,351.757,438.342,349.411,346.205,271.271,358.468,262.739,376.613,262.822,391.4,274.847,375.515,280.744,357.341,280.836,447.541,274.636,463.218,262.172,482.118,262.411,494.955,271.156,483.261,280.832,464.352,280.44,379.185,386.588,392.674,377.115,406.536,371.75,417.286,374.961,428.096,372.01,441.799,377.8,456.276,388.225,441.277,396.367,427.99,400.172,416.389,400.865,405.33,399.799,392.357,395.644,386.065,386.323,406.422,385.979,417.411,386.99,428.319,385.902,448.311,387.406,427.113,382.92,416.342,383.946,405.78,382.257
12,322.928,242.748,336.698,226.937,360.108,225.673,382.075,231.338,402.492,241.648,432.355,240.245,456.161,228.833,481.429,223.228,507.852,226.681,524.147,245.303,418.327,270.601,417.494,291.322,416.744,311.583,416.089,331.997,395.642,348.596,406.264,352.023,417.234,355.127,428.035,352.682,438.844,350.311,345.995,271.394,358.43,264.64,375.814,264.863,390.792,275.304,375.007,280.199,357.598,280.153,448.947,275.186,464.881,264.853,482.324,264.783,495.537,272.204,483.562,280.673,465.944,280.389,378.252,387.855,392.367,377.999,407.01,372.234,418.04,375.343,429.184,372.641,443.562,378.702,458.238,389.815,442.404,399.231,428.142,402.258,416.561,402.549,405.201,401.357,391.533,397.05,384.868,387.58,407.043,386.403,418.152,387.513,429.545,386.501,450.465,389.021,427.4,384.709,416.416,385.396,405.526,384.009
