time,heartValue
0, 41727
1, 243
2, 452
3, 249
4, 332
5, 421
6, 208
7, 414
8, 330
9, 245
10, 453
11, 247
12, 330
13, 414
14, 214
15, 426
16, 328
17, 240
18, 448
19, 247
20, 336
21, 418
22, 216
23, 414
24, 321
25, 250
26, 455
27, 242
28, 333
29, 420
30, 215
31, 416
32, 325
33, 451
34, 240
35, 337
36, 418
37, 213
38, 418
39, 322
40, 250
41, 455
42, 242
43, 340
44, 418
45, 214
46, 420
47, 321
48, 252
49, 454
50, 240
51, 340
52, 411
53, 216
54, 424
55, 321
56, 256
57, 454
58, 238
59, 337
60, 414
61, 223
62, 421
63, 313
64, 256
65, 454
66, 238
67, 338
68, 410
69, 226
70, 424
71, 311
72, 256
73, 456
74, 243
75, 340
76, 409
77, 217
78, 427
79, 313
80, 250
81, 449
82, 243
83, 351
84, 407
85, 210
86, 426
87, 315
88, 260
89, 455
90, 235
91, 350
92, 413
93, 216
94, 426
95, 310
96, 256
97, 455
98, 241
99, 353
100, 407
101, 210
102, 432
103, 316
104, 258
105, 450
106, 237
107, 351
108, 406
109, 218
110, 433
111, 317
112, 259
113, 449
114, 236
115, 354
116, 409
117, 216
118, 428
119, 311
120, 262
121, 450
122, 236
123, 359
124, 407
125, 213
126, 427
127, 308
128, 261
129, 448
130, 238
131, 361
132, 401
133, 213
134, 425
135, 303
136, 269
137, 452
138, 230
139, 355
140, 404
141, 219
142, 431
143, 304
144, 267
145, 454
146, 237
147, 360
148, 401
149, 220
150, 431
151, 301
152, 264
153, 453
154, 238
155, 363
156, 395
157, 216
158, 432
159, 299
160, 267
161, 451
162, 232
163, 364
164, 397
165, 218
166, 438
167, 302
168, 267
169, 447
170, 230
171, 368
172, 401
173, 215
174, 429
175, 299
176, 275
177, 453
178, 229
179, 366
180, 400
181, 220
182, 434
183, 298
184, 272
185, 448
186, 228
187, 370
188, 401
189, 218
190, 433
191, 299
192, 273
193, 447
194, 227
195, 368
196, 393
197, 214
198, 434
199, 296
200, 274
201, 449
202, 227
203, 367
204, 390
205, 221
206, 442
207, 290
208, 270
209, 450
210, 230
211, 375
212, 394
213, 218
214, 439
215, 294
216, 277
217, 446
218, 224
219, 373
220, 395
221, 218
222, 430
223, 283
224, 280
225, 449
226, 225
227, 370
228, 389
229, 222
230, 439
231, 284
232, 276
233, 450
234, 227
235, 372
236, 388
237, 222
238, 442
239, 289
240, 277
241, 448
242, 224
243, 373
244, 380
245, 223
246, 438
247, 280
248, 280
249, 445
250, 222
251, 377
252, 386
253, 224
254, 437
255, 284
256, 286
257, 449
258, 223
259, 378
260, 384
261, 226
262, 439
263, 279
264, 286
265, 452
266, 226
267, 378
268, 379
269, 223
270, 438
271, 281
272, 288
273, 447
274, 226
275, 382
276, 376
277, 222
278, 443
279, 277
280, 282
281, 444
282, 224
283, 386
284, 382
285, 227
286, 446
287, 279
288, 286
289, 447
290, 227
291, 384
292, 370
293, 220
294, 442
295, 281
296, 292
297, 437
298, 219
299, 390
300, 378
301, 222
302, 437
303, 276
304, 294
305, 443
306, 221
307, 392
308, 379
309, 224
310, 445
311, 281
312, 296
313, 443
314, 221
315, 389
316, 376
317, 228
318, 441
319, 271
320, 296
321, 441
322, 221
323, 389
324, 369
325, 224
326, 442
327, 270
328, 296
329, 440
330, 223
331, 394
332, 370
333, 227
334, 444
335, 274
336, 299
337, 440
338, 219
339, 394
340, 369
341, 227
342, 445
343, 274
344, 300
345, 430
346, 220
347, 398
348, 366
349, 226
350, 444
351, 271
352, 298
353, 434
354, 222
355, 399
356, 366
357, 229
358, 447
359, 269
360, 303
361, 442
362, 223
363, 395
364, 358
365, 224
366, 446
367, 272
368, 306
369, 431
370, 215
371, 397
372, 363
373, 230
374, 446
375, 267
376, 303
377, 435
378, 223
379, 400
380, 359
381, 230
382, 446
383, 265
384, 308
385, 436
386, 218
387, 396
388, 362
389, 233
390, 438
391, 258
392, 311
393, 434
394, 221
395, 402
396, 356
397, 231
398, 448
399, 264
400, 309
401, 430
402, 220
403, 400
404, 353
405, 234
406, 451
407, 265
408, 306
409, 434
410, 216
411, 399
412, 350
413, 234
414, 448
415, 258
416, 308
417, 431
418, 220
419, 405
420, 352
421, 232
422, 448
423, 263
424, 313
425, 432
426, 223
427, 406
428, 352
429, 231
430, 446
431, 260
432, 312
433, 434
434, 220
435, 404
436, 348
437, 236
438, 448
439, 254
440, 314
441, 427
442, 218
443, 409
444, 345
445, 233
446, 453
447, 262
448, 318
