time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51
1,240.355,130.291,253.01,113.441,274.631,111.328,296.764,114.437,317.665,122.028,351.265,118.797,372.375,110.03,395.184,105.404,419.063,107.426,434.636,121.988,333.73,144.854,333.784,168.556,333.764,191.516,333.932,214.974,308.623,227.451,321.595,232.241,335.211,236.274,350.128,230.978,363.589,224.363,261.927,146.918,274.244,137.766,290.693,137.582,305.733,148.618,290.656,151.416,274.415,152.449,365.766,145.755,379.972,132.806,396.339,131.8,408.95,139.729,397.578,146.292,381.157,146.754,290.37,260.419,305.986,254.915,323.481,252.801,337.752,255.977,351.663,251.938,370.378,252.066,388.043,256.865,371.064,277.26,352.677,287.332,337.735,289.236,322.219,288.224,306.138,280.507,298.158,261.372,323.242,263.311,337.751,264.234,351.92,262.08,380.952,258.08,352.006,270.418,337.72,272.419,323.193,271.363
2,239.097,127.622,253.204,112.067,275.055,110.628,297.139,113.954,317.447,122.049,351.87,118.592,372.897,109.199,395.596,105.359,419.292,107.05,435.666,120.898,334.418,143.1,334.54,167.063,334.765,190.137,335.086,214.053,308.734,226.381,322.141,232.087,336.157,236.775,350.951,231.294,364.585,224.575,259.05,143.204,272.009,133.592,289.034,134.217,303.835,146.793,288.3,149.024,271.755,149.362,367.358,144.2,382.846,129.646,399.916,128.498,413.227,137.443,401.235,144.394,384.116,144.96,288.871,262.552,305.857,256.373,323.631,254.76,337.341,258.195,351.151,254.55,370.869,256.474,388.605,261.831,370.271,281.474,351.058,289.751,335.991,291.082,321.345,289.746,304.739,281.517,296.85,263.956,323.503,266.194,337.234,267.407,351.385,265.934,380.878,262.995,350.443,272.378,336.241,273.854,322.48,272.606
3,239.199,126.298,254.467,111.244,276.374,110.083,297.667,114.303,317.895,121.948,354.169,118.639,375.886,110.284,397.877,106.365,420.814,110.395,435.147,126.248,334.937,147.612,334.709,169.798,334.372,191.328,334.244,213.248,308.082,230.569,321.167,233.824,334.313,237.021,347.895,234.416,361.283,231.114,260.255,148.384,273.815,142.8,289.311,142.775,304.994,150.738,289.13,152.209,273.946,152.922,367.834,151.881,384.337,144.575,400.132,145.387,412.991,151.461,399.933,155.397,384.164,154.218,287.184,267.146,305.433,260.757,322.972,257.862,335.118,261.487,347.72,258.61,365.372,263.281,382.534,271.751,363.796,283.91,347.023,288.136,333.31,288.531,319.864,286.933,303.878,281.187,294.756,268.361,322.321,270.927,334.696,272.511,347.74,271.878,374.337,271.476,346.545,271.077,333.724,271.371,321.377,270.477
4,241.041,128.655,254.369,113.082,275.028,111.788,295.649,114.681,315.611,121.902,353.01,119.403,375.035,110.707,398.008,108.126,421.162,112.682,435.683,129.513,333.615,148.025,332.692,170.344,331.477,191.712,330.445,213.835,307.478,226.107,319.822,231.186,332.785,236.078,346.653,231.871,359.759,227.192,265.833,150.495,278.053,144.745,292.434,144.557,307.005,151.283,292.636,152.559,278.405,153.281,368.583,152.941,384.582,146.879,399.244,147.66,411.152,154.017,398.466,156.366,383.942,155.195,288.9,258.125,304.441,251.365,321.885,249.447,335.075,252.796,348.743,250.381,368.79,253.254,387.46,262.182,369.051,281.516,349.351,288.211,334.648,288.711,320.363,287.083,304.059,279.414,296.47,259.756,321.576,260.156,334.802,261.665,348.901,261.192,379.934,262.65,348.503,272.689,334.573,272.841,321.185,270.992
5,240.007,133.46,252.874,116.279,274.445,112.945,296.295,115.611,317.438,122.573,351.602,120.381,372.844,111.102,395.458,107.636,418.423,111.813,433.205,128.215,333.198,149.617,333.198,171.599,332.981,192.649,332.934,214.861,309.561,230.143,321.579,234.432,334.56,238.198,348.492,233.796,361.751,228.312,264.222,157.532,276.332,150.959,290.633,149.727,306.757,155.417,291.575,157.308,277.437,158.74,367.389,154.194,383.335,148.057,397.803,148.157,409.753,153.991,396.975,156.354,382.569,155.371,289.981,268.377,305.873,258.67,323.11,254.573,336.259,257.478,348.649,254.394,366.936,257.344,384.128,268.19,366.261,283.826,349.104,289.407,335.475,290.698,321.139,289.687,305.511,284.045,297.822,268.855,322.837,266.765,336.335,267.699,349.143,266.367,376.667,267.896,348.208,273.645,335.459,274.436,322.011,274.18
6,236.446,135.853,248.707,117.42,271.333,113.489,293.796,115.591,315.263,122.195,350.871,120.218,372.886,109.604,397.359,105.476,422.413,108.285,439.373,124.822,333.235,144.716,333.219,168.087,333.092,190.475,333.108,213.673,308.673,228.36,322.17,233.051,337.149,236.428,352.187,230.531,366.507,222.914,261.032,152.148,272.904,141.685,289.614,140.322,306.061,151.292,290.041,153.824,273.594,155.368,368.373,146.81,384.235,133.33,400.944,132.477,414.653,141.056,401.79,146.741,384.675,146.856,291.188,263.893,307.859,257.202,325.871,253.624,339.649,256.147,351.909,252.024,371.675,252.334,392.69,257.537,373.04,278.775,354.142,287.455,340.246,289.655,325.912,289.265,308.313,282.87,299.759,264.947,326.466,265.05,339.988,265.276,353,262.994,384.76,259.232,352.543,270.611,339.463,272.277,326.109,271.922
7,238.278,131.966,250.567,115.202,271.953,113.592,293.505,116.286,314.263,123.522,349.643,121.437,371.677,110.931,395.833,107.392,420.964,110.145,438.066,125.055,332.251,146.864,332.247,170.149,331.955,192.599,332,215.817,307.911,223.823,320.529,229.668,334.629,234.679,349.272,228.682,363.077,222.011,262.292,148.314,274.358,141.442,290.189,141.108,305.395,149.986,290.413,152.246,274.719,153.16,366.441,148.613,381.753,138.656,398.19,138.238,411.498,144.585,398.62,150.261,382.339,150.49,289.721,251.542,305.948,247.164,324.113,245.967,338.13,248.498,352.063,245.552,373.56,245.376,393.954,249.49,375.031,275.704,353.522,286.969,338.615,288.68,323.58,287.543,305.683,277.574,297.662,253.924,324.391,255.272,338.416,256.592,352.386,254.482,386.477,250.93,352.333,271.109,338.202,272.767,323.946,271.561
8,236.788,130.105,249.878,114.326,271.633,113.246,293.868,116.596,315.308,124.926,348.979,122.609,370.951,111.984,395.048,107.933,419.328,110.096,435.815,124.209,332.386,146.943,332.444,170.811,332.218,193.768,332.301,217.358,306.465,222.245,320.005,229.136,335.037,234.743,350.579,228.782,364.911,222.047,262.446,144.574,274.691,138.352,290.044,138.975,303.783,148.764,289.318,150.849,274.217,150.513,366.44,147.755,380.337,137.213,396.384,136.215,409.87,142.499,397.685,149.03,381.398,149.745,289.842,245.731,306.97,246.011,325.406,247.45,337.917,250.095,351.057,247.224,372.732,245.368,393.652,244.792,375.49,273.357,353.832,286.665,339.544,288.09,325.634,286.429,307.581,274.431,297.135,248.623,325.748,252.978,338.301,254.991,351.271,252.841,386.47,246.828,352.177,271.37,338.899,273.136,325.868,271.07
9,236.162,134.509,249.662,116.416,272.1,113.119,294.9,116.151,316.717,124.337,351.049,121.006,373.035,111.255,396.46,107.692,420.482,111.831,436.434,127.681,332.771,148.53,332.667,171.551,332.386,193.496,332.218,216.227,309.019,232.812,321.268,236.032,334.335,238.922,347.702,235.046,360.755,230.496,260.712,152.715,273.229,144.398,289.264,143.529,306.25,153.641,289.771,155.465,273.824,156.586,366.012,152.085,382.336,141.012,398.407,140.397,411.085,148.167,398.892,152.946,382.699,152.718,290.302,268.746,307.769,263.622,324.988,260.225,336.903,262.726,348.137,259.095,366.427,261.066,386.283,266.437,366.753,281.863,349.64,287.887,336.986,289.376,324.005,289.117,307.776,283.671,298.34,269.94,324.939,271.46,336.934,271.928,348.879,270.374,378.502,267.234,348.308,272.333,336.453,273.773,324.526,273.495
10,238.425,134.751,250.771,116.655,272.658,113.417,294.931,116.747,316.552,124.468,353.036,121.302,374.91,112.008,398.223,107.884,421.828,112.604,436.412,129.736,333.07,150.684,332.877,171.913,332.629,192.126,332.562,212.94,310.184,234.539,321.906,236.878,333.577,238.64,345.633,236.657,358.135,233.885,262.638,156.295,274.871,147.426,291.323,146.245,307.067,156.265,291.529,159.499,275.136,160.814,366.348,155.536,382.044,145.334,398.492,146.097,411.119,155.083,398.208,159.891,381.741,158.469,291.517,279.417,307.021,266.802,323.228,259.462,335.042,262.631,345.954,259.088,361.717,265.523,377.201,279.188,360.674,285.895,346.288,288.547,334.099,289.331,321.423,288.885,306.715,286.104,299.89,279.078,322.993,273.605,335.015,273.796,346.453,273.348,368.334,277.919,345.362,271.272,334.091,271.409,322.464,271.841
