time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51
1,260.049,221.132,270.333,206.643,288.046,202.075,306.217,204.445,323.589,211.535,344.197,211.733,362.356,201.829,383.411,197.339,404.92,200.208,420.036,213.674,334.898,231.165,335.464,247.45,336,263.13,336.49,279.309,320.346,296.841,329.433,298.117,338.129,299.452,347.226,297.117,356.415,295.068,279.119,241.191,287.787,235.15,299.741,234.191,311.661,240.643,299.671,244.391,287.859,245.291,362.816,238.143,374.279,231.301,386.921,231.428,398.232,236.318,387.453,241.162,374.537,241.076,307.142,331.017,318.362,321.156,330.115,314.578,339.507,316.734,347.319,313.651,359.671,318.41,373.262,327.864,360.531,335.086,349.557,338.498,340.468,339.757,330.939,339.639,319.384,338.18,313.515,330.586,330.822,326.668,340.02,326.698,348.395,325.823,367.048,327.391,348.183,324.631,339.599,325.704,330.62,325.773
2,261.898,219.445,272.02,205.462,289.862,202.161,307.914,205.584,324.62,212.43,345.315,211.438,363.638,202.492,383.768,197.458,404.601,200.384,418.125,214.115,335.715,230.544,336.068,247.199,336.476,263.315,336.81,279.938,320.058,296.466,329.32,298.673,338.005,300.314,347.442,298.122,356.733,296.052,279.543,241.071,288.944,235.453,301.033,234.61,313.308,240.387,301.197,244.348,289.038,245.331,362.823,238.146,374.984,231.854,387.761,232.038,398.802,236.814,388.367,241.646,375.231,241.38,307.706,330.557,318.673,320.798,329.431,314.611,338.815,317.133,347.548,314.403,359.69,319.552,374.063,328.795,359.65,334.708,348.491,337.079,338.653,338.217,328.767,337.591,318.52,336.345,313.738,330.163,329.812,326.702,339.116,327.195,348.528,326.413,367.43,328.447,347.492,323.297,338.125,324.132,328.935,323.995
3,261.96,221.592,271.283,206.729,289.298,202.172,307.394,204.649,324.989,211.509,347.537,211.528,365.439,202.549,385.263,197.518,406.095,200.216,419.573,214.015,336.913,231.402,337.483,247.195,338.028,262.648,338.431,278.473,321.89,295.799,331.024,297.229,339.64,298.658,348.747,296.357,357.828,294.437,281.122,241.09,289.881,235.192,302.207,234.357,314.389,240.503,302.458,244.1,290.078,244.985,364.128,238.25,375.685,231.413,388.502,231.51,400.018,236.191,389.143,241.057,376.148,241.043,308.443,329.816,319.634,319.602,330.975,313.249,340.33,315.45,348.539,312.821,360.579,318.016,374.222,328.059,360.562,334.368,349.531,337.164,340.533,338.254,330.946,337.958,319.855,336.789,314.421,329.098,331.56,325.009,340.694,324.974,349.304,324.356,366.924,327.409,348.503,322.885,339.895,323.812,330.901,323.826
4,261.592,219.044,271.763,204.577,290.32,201.518,308.653,204.476,325.402,212.023,346.413,211.28,365.007,201.492,385.735,197.411,406.903,200.213,420.461,214.411,336.905,231.748,337.209,247.372,337.419,262.558,337.602,278.317,321.038,296.017,330.078,297.743,338.858,299.214,348.29,297.109,357.473,295.165,279.777,239.943,289.533,234.283,301.944,233.862,313.706,240.518,301.908,243.548,289.373,244.361,363.691,238.286,375.959,231.041,388.966,231.332,400.585,236.265,389.602,240.88,376.197,240.873,306.649,329.64,318.332,320.379,330.012,314.651,339.218,316.98,347.752,314.119,360.306,319.002,374.379,328.007,360.477,334.537,348.792,337.531,339.469,338.689,329.934,338.196,318.524,336.545,312.772,329.066,330.593,325.732,339.676,325.944,348.715,325.168,367.881,327.526,347.758,323.96,338.846,324.917,329.984,324.745
5,260.613,221.882,270.205,206.599,288.723,201.57,307.562,204.608,325.339,211.594,346.022,211.044,364.317,202.143,385.008,197.502,406.471,200.268,420.356,214.645,335.974,231.195,336.462,246.971,336.781,262.609,337.047,278.462,320.265,296.011,329.727,297.497,338.597,299.123,348.195,296.7,357.757,294.658,279.789,240.898,288.837,235.278,300.617,234.342,312.629,240.502,301.084,243.825,289.071,244.672,364.564,237.895,376.044,231.523,388.453,231.335,399.86,236.045,389.068,240.436,376.248,240.305,307.384,330.14,318.525,320.252,330.403,313.929,339.796,316.027,348.383,313.399,360.487,318.374,375.221,327.652,361.253,335.82,349.77,338.367,340.178,339.54,330.409,338.979,318.858,337.677,313.345,329.758,330.926,325.686,340.146,325.533,349.127,324.879,368.507,327.301,348.635,324.245,339.658,325.214,330.414,325.373
6,262.385,220.752,271.914,205.398,290.412,201.066,308.956,203.823,325.896,211.372,347.236,210.187,365.5,201.16,385.552,196.879,405.968,200.046,419.404,213.862,336.727,231.268,336.945,247.203,337.109,262.61,337.318,278.367,320.831,295.379,329.962,297.199,338.74,298.689,348.35,296.34,357.671,294.207,280.379,240.423,289.753,234.646,301.876,233.969,314.339,240.368,302.167,243.496,289.906,244.402,363.697,237.784,375.677,230.544,388.669,230.566,400.852,235.141,389.707,239.857,376.37,240.062,307.614,329.672,318.174,319.043,329.753,312.59,338.811,315.003,347.283,312.353,359.714,317.901,373.281,327.549,359.681,334.716,348.234,337.349,338.561,338.572,329.223,338.184,318.566,336.916,313.412,328.874,330.422,324.051,339.191,324.166,348.321,323.562,366.602,327.113,347.161,323.289,338.067,324.418,329.304,324.362
7,262.984,220.884,272.358,205.205,290.71,201.387,309.12,204.289,326.027,211.542,346.524,210.561,365.474,201.634,386.132,197.132,407.366,200.342,420.396,214.972,337.383,230.633,337.683,246.343,337.886,261.891,338.099,277.677,321.342,295.036,330.578,296.695,339.245,298.008,348.733,295.965,357.908,294.16,281.265,239.998,290.367,234.24,302.719,233.699,314.25,240.056,302.754,243.252,290.471,244.073,364.99,237.579,376.818,230.362,390.124,230.483,401.616,235.463,390.938,239.798,377.511,239.999,308.004,330.101,318.868,319.208,330.151,312.772,339.687,315.265,348.557,312.609,360.818,318.09,374.47,328.084,360.981,334.377,349.59,336.746,339.694,337.833,329.948,337.343,319.071,336.403,313.895,329.502,330.769,325.015,339.981,324.891,349.425,324.386,367.621,327.57,348.672,322.899,339.321,323.78,330.058,323.693
8,260.847,220.538,270.282,205.221,288.726,201.261,307.246,204.434,324.405,211.832,345.548,211.373,364.348,202.423,384.643,198.024,405.801,200.184,420.047,213.532,336.161,231.114,336.626,246.984,336.891,262.51,337.186,278.074,320.075,295.334,329.567,296.951,338.423,298.606,348.091,296.152,357.604,294.368,279.844,239.936,289.233,234.45,301.662,233.797,313.582,239.937,302.072,243.328,289.536,244.148,363.614,237.499,375.604,230.947,388.475,231.14,399.865,235.768,389.175,240.534,376.057,240.5,307.761,328.847,319.049,319.062,330.433,313.267,339.283,315.574,348.162,312.967,360.534,318.305,374.319,327.267,360.746,333.801,349.428,336.609,339.827,337.884,330.24,337.474,319.117,336.048,313.544,328.56,330.984,325.191,339.642,325.36,349.034,324.81,367.215,326.968,348.363,322.816,339.093,323.85,330.302,324.101
9,261.852,221.416,271.208,206.431,289.24,201.689,307.789,204.331,325.029,211.309,347.223,211.074,365.321,201.916,385.314,197.45,406.003,201.241,418.899,215.836,336.544,232.474,336.88,247.765,337.207,262.554,337.464,277.617,320.196,294.773,329.432,296.079,338.437,297.753,348.062,295.313,357.845,293.62,280.409,240.363,289.259,235.186,301.054,234.437,312.439,240.196,301.115,243.878,289.252,244.447,364.085,237.909,375.471,231.719,387.809,231.736,398.812,236.217,388.338,240.946,375.68,240.892,308.401,328.816,319.629,318.809,331.188,312.533,340.193,314.829,348.527,312.274,360.282,317.327,374.135,327.021,360.337,333.362,349.537,335.635,340.277,336.578,330.782,336.088,319.895,335.534,314.724,328.418,331.601,324.379,340.504,324.507,349.258,323.905,367.288,326.407,348.427,321.32,339.648,322.034,330.986,322.307
10,260.663,219.878,271.335,205.813,289.67,201.935,308.328,205.133,325.491,212.5,344.414,210.761,363.335,201.708,384.521,197.279,406.225,200.213,420.645,214.217,335.656,231.247,335.897,246.916,336.109,262.072,336.273,277.898,319.851,295.677,328.973,297.381,338.104,298.693,347.354,296.644,356.512,294.841,279.458,241.14,288.476,235.83,300.356,234.869,312.379,240.285,300.71,243.766,288.71,244.866,363.912,237.976,376.076,232.039,388.713,232.393,400.265,236.835,389.079,241.07,376.229,240.902,306.845,330.651,318.177,320.347,329.509,313.748,338.906,316.074,347.803,313.335,359.926,318.56,373.821,328.195,359.928,334.82,348.54,337.409,338.715,338.513,329.064,338.083,318.471,337.093,312.659,330.168,330.041,325.738,339.386,325.826,348.659,325.194,367.5,327.578,347.515,323.522,338.124,324.503,329.098,324.676
11,260.921,222.515,270.232,207.154,287.943,202.007,306.547,204.542,323.454,211.641,345.64,210.472,364.573,201.732,385.103,197.349,406.268,200.8,420.002,215.07,336.045,231.174,336.44,246.842,336.779,261.922,337.154,277.773,321.063,295.899,330.258,297.123,338.922,298.392,348.038,296.375,357.161,294.715,279.955,241.499,288.927,235.782,300.992,234.813,312.749,240.28,301.265,244.294,289.19,245.4,363.882,237.698,375.818,231.263,388.422,231.69,399.693,236.022,389.01,240.731,376.328,240.696,307.913,331.346,318.939,320.606,330.37,314.071,339.271,316.389,347.599,313.453,359.544,318.584,373.477,328.072,360.054,334.363,349.265,336.33,339.896,337.574,330.573,337.404,319.618,336.937,314.045,330.286,330.937,325.821,339.723,325.648,348.488,325.011,366.878,327.234,348.007,322.597,339.129,323.694,330.445,323.942
12,261.87,221.726,270.87,206.555,288.723,201.762,306.888,204.504,324.071,211.248,346.384,210.891,364.901,202.615,384.936,197.488,405.791,200.316,419.427,214.12,335.44,231.34,335.78,247.35,336.133,262.876,336.434,278.706,319.469,295.957,328.99,297.177,338.069,298.795,347.693,296.36,357.286,294.446,280.3,241.099,288.989,235.332,301.346,234.227,313.332,239.707,301.875,244.048,289.479,245.178,363.546,237.571,375.396,231.104,388.235,231.441,399.54,236.336,388.808,241.073,375.651,240.72,307.544,330.214,318.843,319.803,330.032,313.55,339.214,315.795,347.608,313.093,359.864,318.23,374.018,327.551,359.817,334.879,348.143,337.106,338.745,338.345,329.175,338.093,318.736,337.175,313.43,329.58,330.683,325.431,339.614,325.278,348.483,324.6,366.97,327.361,347.205,322.694,338.36,323.725,329.489,323.851
13,261.702,219.119,271.277,204.585,289.491,200.201,307.698,203.812,324.505,211.436,345.85,210.731,364.086,201.497,384.559,196.867,405.801,199.887,419.309,214.256,335.771,230.502,336.084,246.352,336.296,261.942,336.493,277.971,320.218,295.322,329.321,296.878,337.999,298.355,347.467,296.126,357.003,294.188,280.284,240.677,289.396,235.788,301.277,234.922,313.249,240.295,301.469,243.515,289.541,244.38,363.988,237.546,375.942,232.169,388.303,232.232,399.445,236.415,388.622,240.578,375.961,240.216,307.202,329.915,318.626,319.949,329.926,313.495,339.283,315.666,347.676,312.91,359.549,318.18,372.917,327.749,359.393,333.436,348.387,336.054,339.256,337.476,329.484,337.31,318.703,336.376,313.417,329.097,330.446,325.169,339.603,325.257,348.455,324.4,366.405,327.018,347.372,321.73,338.686,322.998,329.581,323.431
