time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51
1,264.524,250.829,271.806,237.312,286.721,231.43,302.673,232.287,317.522,238.046,339.274,237.05,355.136,228.981,373.68,226.607,391.693,231.261,402.168,245.265,329.366,257.376,329.058,269.27,328.6,280.758,328.195,293.171,314.576,310.093,322.528,311.506,330.514,312.02,338.635,310.666,347.031,308.882,280.452,265.366,288.265,260.127,298.49,259.828,308.699,265.464,298.552,267.82,288.527,268.238,355.068,263.186,365.098,256.856,375.352,256.597,384.277,261.116,375.994,264.642,365.574,264.934,301.666,339.87,311.892,330.65,322.929,324.936,330.976,327.093,338.177,324.952,350.244,329.805,362.102,338.011,349.925,343.896,338.674,346.274,330.642,347.082,322.134,346.796,311.603,345.722,306.691,339.123,323.01,335.041,331.299,335.69,338.795,335.013,356.456,337.477,338.046,334.758,330.438,335.508,322.419,335.166
2,267.6,247.365,275.048,234.641,290.146,230.801,305.733,232.207,319.757,238.326,338.927,236.866,355.008,228.99,373.509,226.5,391.638,231.112,402.193,245.163,330.372,255.753,330.153,267.929,329.874,279.8,329.535,292.561,314.511,308.562,322.808,310.267,331.304,311.315,339.815,309.714,348.295,308.024,282.438,264.514,289.977,259.353,300.389,259.127,310.854,264.319,300.708,266.705,290.251,267.533,354.556,262.023,364.809,256.788,375.356,256.708,384.22,261.152,375.833,264.179,365.042,264.127,302.654,339.009,312.728,329.708,323.196,324.2,331.467,326.334,339.029,324.291,350.222,329.051,362.8,337.418,349.936,343.239,339.146,344.506,331.122,345.14,322.444,344.777,312.425,344.216,307.835,338.317,323.414,334.264,331.79,334.703,339.68,334.213,356.626,336.994,338.581,332.925,330.849,333.275,322.77,333.191
3,266.504,249.208,273.938,235.987,289.217,231.417,304.564,233.16,318.825,239.255,338.846,237.909,354.725,230.251,372.557,227.258,390.513,231.076,401.063,245.325,329.814,256.165,329.798,268.412,329.631,280.416,329.453,293.171,315.103,309.571,323.275,310.765,331.503,311.846,339.525,310.154,347.881,308.387,281.312,266.023,288.997,260.636,299.533,260.087,310.074,265.142,299.804,267.594,289.39,268.567,354.56,262.879,364.593,257.408,375.255,257.309,384.202,261.874,375.655,265.118,364.952,265.009,302.406,340.013,312.823,330.441,323.682,324.8,331.583,326.857,338.681,324.629,349.539,329.458,361.682,338.153,349.685,343.901,339.155,345.137,331.545,345.917,323.239,345.606,312.991,345.098,307.513,339.379,323.817,334.911,331.839,335.409,339.301,334.889,356.12,337.657,338.651,333.469,331.29,333.987,323.485,333.747
4,267.396,251.618,273.863,237.162,289.156,231.402,305.332,232.817,320.195,239.023,339.301,237.932,355.417,229.726,374.349,226.862,392.962,232.107,403.224,247.244,330.474,255.871,330.332,268.081,330.126,280.026,329.862,292.842,315.17,309.262,323.362,310.694,331.83,311.724,339.968,309.884,348.53,308.31,282.303,265.797,289.748,260.433,300.37,259.643,310.965,264.437,300.76,267.528,290.187,268.585,354.636,262.19,365.155,257.037,375.951,256.98,384.858,261.451,376.183,264.76,365.092,264.371,303.01,340.312,312.87,330.964,323.892,325.363,332.046,327.411,339.458,325.102,350.377,329.59,363.17,338.135,350.277,343.763,339.777,345.204,331.796,346.086,323.301,346.047,312.829,345.316,307.839,339.604,324.099,335.345,332.376,335.556,340.153,334.93,357.339,337.632,339.203,334.28,331.584,334.818,323.563,334.926
5,267.911,250.24,275.005,236.759,289.477,231.696,305.257,232.944,319.444,238.44,340.253,237.874,356.157,230.091,374.579,227.273,392.572,231.509,402.958,245.944,331.113,255.996,331.106,268.253,331.032,280.372,330.978,293.337,316.081,310.434,324.408,311.693,332.746,312.542,340.759,310.954,348.779,309.407,282.2,265.105,290.088,260.005,300.57,259.643,310.812,265.159,300.779,267.36,290.353,267.967,355.601,263.322,366.233,257.623,376.673,257.287,385.401,261.673,377.224,264.866,366.444,265.083,302.934,340.213,313.405,331.427,324.592,325.777,332.886,327.823,340.331,325.339,351.159,330.077,363.611,337.542,351.338,343.497,341.151,345.43,333.203,346.259,324.543,346.367,313.757,345.499,307.896,339.532,324.792,335.478,333.246,335.852,341.017,335.03,357.459,337.145,340.431,334.507,332.698,335.126,324.546,335.039
6,269.33,248.149,277.654,235.348,293.476,231.747,309.294,233.865,323.543,240.13,341.778,237.998,357.737,230.805,375.437,227.788,393.381,231.78,403.868,245.342,332.293,255.95,331.946,268.74,331.616,280.886,331.191,293.738,316.348,310.018,324.526,311.512,332.73,312.481,341.159,310.877,349.47,309.224,285.1,263.706,292.558,258.171,303.725,257.358,314.88,262.843,304.288,265.863,293.064,267.016,354.248,261.163,364.875,255.279,376.061,255.817,384.972,260.952,376.158,264.216,364.768,263.657,305.482,340.761,314.915,331.339,325.776,325.952,333.383,328.204,341.282,325.694,352.418,330.1,364.396,339.323,351.755,345.031,341.388,347.021,332.664,347.883,324.591,347.734,314.458,346.807,310.842,340.241,325.762,336.018,333.598,336.322,341.761,335.406,358.29,338.595,340.963,334.205,332.819,335.032,325.168,334.908
7,272.739,249.229,279.469,236.063,294.491,231.436,309.713,232.888,323.671,239.059,342.808,237.709,358.485,230.653,375.585,227.939,392.309,232.277,401.366,246.026,333.287,255.636,332.917,268.264,332.56,280.519,332.192,293.447,316.837,308.434,325.015,310.63,333.31,312.207,341.954,310.174,350.103,308.084,287.805,265.941,294.993,261.592,304.887,260.364,315.549,263.035,305.702,265.881,295.719,267.501,354.833,261.108,365.807,257.992,375.555,258.932,384.04,262.578,375.092,264.388,365.102,263.393,304.53,340.708,314.928,331.064,325.666,325.864,333.51,328.035,341.081,325.832,351.605,330.536,363.303,339.237,351.094,344.804,340.956,346.167,332.719,346.888,324.348,346.612,314.408,345.642,309.163,340.258,325.557,335.936,333.643,336.271,341.576,335.722,357.656,339.082,340.607,334.539,332.711,335.002,324.927,335.011
8,269.029,250.414,276.106,236.458,291.302,231.093,307.116,232.273,321.439,238.292,342.404,236.677,358.7,229.628,376.309,227.9,393.507,233.066,402.809,248.179,331.903,256.365,331.563,268.622,331.129,280.462,330.614,293.267,316.387,309.458,324.343,310.513,332.278,311.378,340.501,310.028,348.927,308.72,283.714,265.273,291.435,260.279,301.643,259.879,311.92,264.823,301.801,267.243,291.613,268.031,355.874,263.395,366.24,258.078,376.464,258.032,385.059,262.616,376.79,265.496,366.436,265.361,304.225,340.216,314.09,330.873,324.27,325.051,332.293,327.181,339.959,325.061,350.935,330.254,362.774,338.938,350.827,344.62,340.333,346.455,331.928,347.221,323.58,346.846,313.981,345.856,308.92,339.592,324.318,335.263,332.432,335.778,340.459,335.219,357.57,338.512,339.767,334.824,331.985,335.316,324.073,335.214
9,269.256,249.342,276.105,235.703,290.965,230.864,306.553,232.257,320.602,238.282,342.354,237.095,358.351,229.674,376.604,227.36,394.097,232.166,403.75,246.899,332.135,255.79,332.004,268.341,331.81,280.596,331.615,293.716,316.482,309.708,324.58,311.134,332.637,312.316,340.918,310.621,349.242,308.997,283.122,264.716,290.451,259.925,300.664,259.391,311.1,263.946,301.224,266.709,290.936,267.622,356.253,262.728,366.582,257.697,376.879,257.699,385.652,262.141,377.167,265.281,366.704,265.044,304.392,340.731,314.127,331.357,325.352,325.555,333.283,327.926,340.388,325.665,351.539,330.793,362.909,339.669,351.562,345.48,341.024,347.424,333.095,348.383,324.751,348.232,313.94,347.076,309.274,340.135,325.407,336.355,333.463,336.719,340.882,336.305,356.973,339.122,340.357,335.28,332.953,336.001,325.011,335.844
10,271.643,250.669,277.55,235.737,292.805,230.495,308.728,232.633,323.128,239.09,341.581,237.583,358.348,229.934,377.317,227.465,395.745,233.19,405.052,249.193,332.923,255.664,332.43,267.964,331.871,279.849,331.254,292.807,316.551,308.975,324.672,310.52,332.725,311.646,341.005,310.063,349.402,308.677,285.554,265.016,292.564,259.756,303.091,259.336,313.689,264.17,303.59,267.013,293.011,267.961,357.375,262.621,367.798,257.345,378.486,257.645,387.27,262.147,378.63,265.366,367.626,264.949,305.764,341.127,315.26,331.696,325.374,326.188,332.968,328.275,339.85,326.278,350.743,331.507,363.277,339.867,350.443,344.387,340.12,345.228,332.661,345.851,324.865,345.601,314.993,345.31,310.391,340.35,325.573,335.98,333.215,336.341,340.412,335.768,357.717,339.233,339.723,334.397,332.659,334.661,325.161,334.431
