time,heartValue
0, 257
1, 363
2, 365
3, 411
4, 434
5, 386
6, 290
7, 213
8, 179
9, 211
10, 257
11, 287
12, 306
13, 317
14, 327
15, 335
16, 339
17, 341
18, 345
19, 351
20, 356
21, 358
22, 364
23, 368
24, 373
25, 371
26, 372
27, 372
28, 373
29, 375
30, 373
31, 373
32, 370
33, 366
34, 371
35, 369
36, 369
37, 370
38, 372
39, 372
40, 374
41, 370
42, 371
43, 363
44, 18943
45, 411
46, 434
47, 386
48, 290
49, 213
50, 179
51, 211
52, 257
53, 287
54, 306
55, 317
56, 327
57, 335
58, 339
59, 341
60, 345
61, 351
62, 356
63, 358
64, 364
65, 368
66, 373
67, 371
68, 372
69, 372
70, 373
71, 375
72, 373
73, 373
74, 370
75, 366
76, 371
77, 369
78, 369
79, 370
80, 372
81, 372
82, 374
83, 370
84, 371
85, 363
86, 64769
87, 352
88, 346
89, 345
90, 341
91, 344
92, 344
93, 346
94, 338
95, 326
96, 328
97, 330
98, 328
99, 330
100, 326
101, 325
102, 328
103, 329
104, 334
105, 340
106, 340
107, 336
108, 340
109, 332
110, 329
111, 328
112, 321
113, 321
114, 321
115, 329
116, 324
117, 324
118, 330
119, 329
120, 321
121, 326
122, 326
123, 331
124, 327
125, 325
126, 322
127, 321
128, 324
129, 323
130, 320
131, 313
132, 308
133, 316
134, 320
135, 309
136, 306
137, 300
138, 296
139, 296
140, 300
141, 296
142, 290
143, 287
144, 286
145, 290
146, 293
147, 296
148, 298
149, 293
150, 294
151, 298
152, 294
153, 287
154, 298
155, 304
156, 304
157, 308
158, 313
159, 311
160, 316
161, 317
162, 312
163, 311
164, 323
165, 343
166, 365
167, 393
168, 434
169, 420
170, 338
171, 252
172, 189
173, 206
174, 250
175, 286
176, 321
177, 334
178, 337
179, 343
180, 348
181, 356
182, 361
183, 361
184, 372
185, 376
186, 371
187, 371
188, 373
189, 378
190, 376
191, 372
192, 368
193, 367
194, 370
195, 377
196, 377
197, 380
198, 381
199, 383
200, 384
201, 382
202, 377
203, 373
204, 366
205, 358
206, 351
207, 352
208, 349
209, 342
210, 335
211, 328
212, 320
213, 311
214, 313
215, 310
216, 312
217, 310
218, 305
219, 304
220, 300
221, 299
222, 297
223, 292
224, 291
225, 291
226, 295
227, 299
228, 298
229, 306
230, 307
231, 307
232, 315
233, 315
234, 316
235, 321
236, 313
237, 306
238, 314
239, 318
240, 318
241, 315
242, 313
243, 311
244, 310
245, 312
246, 309
247, 310
248, 320
249, 328
250, 330
251, 331
252, 333
253, 333
254, 323
255, 313
256, 315
257, 312
258, 307
259, 306
260, 303
261, 310
262, 320
263, 326
264, 334
265, 334
266, 336
267, 343
268, 344
269, 341
270, 345
271, 343
272, 346
273, 354
274, 356
275, 365
276, 359
277, 356
278, 354
279, 351
280, 350
281, 347
282, 348
283, 351
284, 347
285, 346
286, 345
287, 346
288, 348
289, 352
290, 367
291, 400
292, 444
293, 457
294, 392
295, 300
296, 229
297, 212
298, 257
299, 299
300, 324
301, 347
302, 354
303, 361
304, 359
305, 356
306, 360
307, 363
308, 358
309, 362
310, 366
311, 364
312, 357
313, 351
314, 352
315, 357
316, 361
317, 361
318, 358
319, 357
320, 362
321, 366
322, 364
323, 367
324, 365
325, 368
326, 378
327, 380
328, 379
329, 377
330, 371
331, 369
332, 367
333, 366
334, 361
335, 358
336, 347
337, 339
338, 338
339, 342
340, 338
341, 334
342, 330
343, 332
344, 331
345, 325
346, 326
347, 321
348, 316
349, 320
350, 319
351, 312
352, 320
353, 322
354, 327
355, 336
356, 335
357, 339
358, 343
359, 342
360, 345
361, 341
362, 339
363, 341
364, 338
365, 342
366, 339
367, 344
368, 343
369, 339
370, 336
371, 340
372, 345
373, 343
374, 342
375, 345
376, 353
377, 345
378, 348
379, 346
380, 343
381, 343
382, 342
383, 344
384, 350
385, 343
386, 342
387, 340
388, 338
389, 340
390, 345
391, 341
392, 340
393, 336
394, 338
395, 338
396, 332
397, 344
398, 334
399, 332
400, 329
401, 327
402, 320
403, 306
404, 302
405, 311
406, 302
407, 302
408, 300
409, 299
410, 300
411, 302
412, 301
413, 313
414, 338
415, 373
416, 418
417, 454
418, 432
419, 344
420, 258
421, 202
422, 229
423, 265
424, 300
425, 323
426, 333
